id,Title,Date,Creator,Description,Provider,Thumbnail,URL
07c0672eb7f070a1fe19fa751708498a,"Museum of History and Technology Construction",,"National Museum of History and Technology (U.S.)","Smithsonian Institution Archives, Record Unit 285, Image No. SIA2010-2184 Smithsonian Institution Archives, Capital Gallery, Suite 3000, MRC 507; 600 Maryland Avenue, SW; Washington, DC 20024-2520","Smithsonian Institution Archives",https://dp.la/thumb/07c0672eb7f070a1fe19fa751708498a,http://collections.si.edu/search/results.htm?q=record_ID=siris_arc_310536&repo=DPLA
18eb7681dcbe72a7e7ea15a89cd89dc2,"Construction of Museum of History & Technology",,"Unknown, National Museum of American History (U.S.) (NMAH), National Museum of History and Technology (U.S.)","Historic Images of the Smithsonian Aerial view of the Mall showing the construction of the new Museum of History and Technology, now the National Museum of American History, in the lower left foregrou…","Smithsonian Archives - History Div",https://dp.la/thumb/18eb7681dcbe72a7e7ea15a89cd89dc2,http://collections.si.edu/search/results.htm?q=record_ID=siris_sic_9329&repo=DPLA
3bee9cdc3bb836f5f469b8941841dc44,"Museum of History and Technology, Agricultural History Exhibit",,"Wilder, Richard, National Museum of History and Technology (U.S.)","Exhibits specialist Richard Wilder, touching up wall panels before installation of objects in the Hall of Farm Machinery. Smithsonian Institution Archives, Record Unit 285, Image No. SIA2010-2871 Smit…","Smithsonian Institution Archives",https://dp.la/thumb/3bee9cdc3bb836f5f469b8941841dc44,http://collections.si.edu/search/results.htm?q=record_ID=siris_arc_310928&repo=DPLA
3cf5f9d7b87813cb6a89839e7cd5f4ad,"Museum of History and Technology Construction",,"National Museum of History and Technology (U.S.)","Smithsonian Institution Archives, Record Unit 285, Image No. SIA2010-2795 Smithsonian Institution Archives, Capital Gallery, Suite 3000, MRC 507; 600 Maryland Avenue, SW; Washington, DC 20024-2520","Smithsonian Institution Archives",https://dp.la/thumb/3cf5f9d7b87813cb6a89839e7cd5f4ad,http://collections.si.edu/search/results.htm?q=record_ID=siris_arc_310899&repo=DPLA
6f528d16c2e424126932600eea560f21,"Museum of History and Technology, Agricultural History Exhibit",,"National Museum of History and Technology (U.S.)","Water wheel and wagon Smithsonian Institution Archives, Record Unit 285, Image No. SIA2010-2879 Smithsonian Institution Archives, Capital Gallery, Suite 3000, MRC 507; 600 Maryland Avenue, SW; Washing…","Smithsonian Institution Archives",https://dp.la/thumb/6f528d16c2e424126932600eea560f21,http://collections.si.edu/search/results.htm?q=record_ID=siris_arc_310936&repo=DPLA
7e272660ff967d53a51004c647ba3cc3,"Museum of History and Technology, Information Technology Exhibit",,"Atlas Computer Laboratory, National Museum of History and Technology (U.S.)","Atlas Computer Smithsonian Institution Archives, Record Unit 285, Image No. SIA2010-2895 Smithsonian Institution Archives, Capital Gallery, Suite 3000, MRC 507; 600 Maryland Avenue, SW; Washington, DC…","Smithsonian Institution Archives",https://dp.la/thumb/7e272660ff967d53a51004c647ba3cc3,http://collections.si.edu/search/results.htm?q=record_ID=siris_arc_310951&repo=DPLA
99d9bfb34c56529e3dbb627abfd615c7,"Museum of History and Technology Library",,"National Museum of History and Technology (U.S.)","Smithsonian Institution Archives, Record Unit 285, Image No. SIA2010-2167 Smithsonian Institution Archives, Capital Gallery, Suite 3000, MRC 507; 600 Maryland Avenue, SW; Washington, DC 20024-2520","Smithsonian Institution Archives",https://dp.la/thumb/99d9bfb34c56529e3dbb627abfd615c7,http://collections.si.edu/search/results.htm?q=record_ID=siris_arc_310525&repo=DPLA
9e342ed4897759098d511758835de22f,"Museum of History and Technology, Information Technology Exhibit",,"Mauchly, John W (John William) 1907-1980, Eckert, J. Presper (John Presper) 1919-1995, National Museum of History and Technology (U.S.)","John Mauchly and J. Presper Eckert's ENIAC Smithsonian Institution Archives, Record Unit 285, Image No. SIA2010-2899 Smithsonian Institution Archives, Capital Gallery, Suite 3000, MRC 507; 600 Marylan…","Smithsonian Institution Archives",https://dp.la/thumb/9e342ed4897759098d511758835de22f,http://collections.si.edu/search/results.htm?q=record_ID=siris_arc_310955&repo=DPLA
af0859accd22049a092a4af3d9992e97,"Museum of History and Technology, Information Technology Exhibit",,"Mauchly, John W (John William) 1907-1980, Eckert, J. Presper (John Presper) 1919-1995, National Museum of History and Technology (U.S.)","ENIAC was the first electronic digital computer. Built at the Moore School of Electrical Engineering of the University of Pennsylvania between 1944 and 1946. It was used at the Aberdeen Proving Ground…","Smithsonian Institution Archives",https://dp.la/thumb/af0859accd22049a092a4af3d9992e97,http://collections.si.edu/search/results.htm?q=record_ID=siris_arc_310957&repo=DPLA
bbe2ed7ac4e93ac6fbd7cd19d83f25d2,"”From the National Collections of the Smithsonian Institution: 125 Years, 1846-1971” Exhibition",,"Harrell, Alfred, Smithsonian Institution Photographic Services Division, National Museum of History and Technology","Monthly exhibit case in the lobby of the National Museum of History and Technology, now known as the National Museum of American History, featuring telephones in the ”History of Science and Technology…","Smithsonian Institution Archives",https://dp.la/thumb/bbe2ed7ac4e93ac6fbd7cd19d83f25d2,http://collections.si.edu/search/results.htm?q=record_ID=siris_arc_395007&repo=DPLA
